ts,wh,
1650344400,2057,2022-04-19 05:00
1650345300,1899,2022-04-19 05:15
1650346200,1525,2022-04-19 05:30
1650347100,2138,2022-04-19 05:45
1650348000,2308,2022-04-19 06:00
1650348900,2218,2022-04-19 06:15
1650349800,1961,2022-04-19 06:30
1650350700,2532,2022-04-19 06:45
1650351600,2319,2022-04-19 07:00
1650352500,2624,2022-04-19 07:15
1650353400,3367,2022-04-19 07:30
1650354300,3184,2022-04-19 07:45
1650355200,2860,2022-04-19 08:00
1650356100,2795,2022-04-19 08:15
1650357000,3015,2022-04-19 08:30
1650357900,3400,2022-04-19 08:45
1650358800,3432,2022-04-19 09:00
1650359700,3143,2022-04-19 09:15
1650360600,3239,2022-04-19 09:30
1650361500,2426,2022-04-19 09:45
1650362400,2195,2022-04-19 10:00
1650363300,2412,2022-04-19 10:15
1650364200,2275,2022-04-19 10:30
1650365100,2648,2022-04-19 10:45
1650366000,2508,2022-04-19 11:00
1650366900,2162,2022-04-19 11:15
1650367800,2650,2022-04-19 11:30
1650368700,2453,2022-04-19 11:45
1650369600,264,2022-04-19 12:00
1650370500,0,2022-04-19 12:15
1650371400,0,2022-04-19 12:30
1650372300,353,2022-04-19 12:45
1650373200,3451,2022-04-19 13:00
1650374100,3296,2022-04-19 13:15
1650375000,2717,2022-04-19 13:30
1650375900,2307,2022-04-19 13:45
1650376800,2261,2022-04-19 14:00
1650377700,2027,2022-04-19 14:15
1650378600,1846,2022-04-19 14:30
1650379500,1893,2022-04-19 14:45
1650380400,2427,2022-04-19 15:00
1650381300,2405,2022-04-19 15:15
1650382200,2365,2022-04-19 15:30
1650383100,2272,2022-04-19 15:45
1650384000,2645,2022-04-19 16:00
1650384900,2575,2022-04-19 16:15
1650385800,2321,2022-04-19 16:30
1650386700,2038,2022-04-19 16:45
1650387600,2221,2022-04-19 17:00
1650388500,1951,2022-04-19 17:15
1650389400,2232,2022-04-19 17:30
1650390300,2084,2022-04-19 17:45
1650391200,2146,2022-04-19 18:00
1650392100,2212,2022-04-19 18:15
1650393000,2140,2022-04-19 18:30
1650393900,2092,2022-04-19 18:45
1650394800,2074,2022-04-19 19:00
1650395700,2061,2022-04-19 19:15
1650396600,2282,2022-04-19 19:30
1650397500,2163,2022-04-19 19:45
1650398400,2011,2022-04-19 20:00
1650399300,2049,2022-04-19 20:15
1650400200,2037,2022-04-19 20:30
1650401100,1856,2022-04-19 20:45
1650402000,2092,2022-04-19 21:00
1650402900,2109,2022-04-19 21:15
1650403800,2014,2022-04-19 21:30
1650404700,2327,2022-04-19 21:45
1650405600,2408,2022-04-19 22:00
1650406500,2429,2022-04-19 22:15
1650407400,2108,2022-04-19 22:30
1650408300,1828,2022-04-19 22:45
1650409200,1767,2022-04-19 23:00
1650410100,2319,2022-04-19 23:15
1650411000,2765,2022-04-19 23:30
1650411900,2223,2022-04-19 23:45
1650412800,2141,2022-04-20 00:00
1650413700,2209,2022-04-20 00:15
1650414600,2201,2022-04-20 00:30
1650415500,2116,2022-04-20 00:45
1650416400,2025,2022-04-20 01:00
1650417300,1730,2022-04-20 01:15
1650418200,2651,2022-04-20 01:30
1650419100,2279,2022-04-20 01:45
1650420000,2003,2022-04-20 02:00
1650420900,1637,2022-04-20 02:15
1650421800,1794,2022-04-20 02:30
1650422700,1995,2022-04-20 02:45
1650423600,2409,2022-04-20 03:00
1650424500,2101,2022-04-20 03:15
1650425400,1755,2022-04-20 03:30
1650426300,2102,2022-04-20 03:45
1650427200,2308,2022-04-20 04:00
1650428100,2392,2022-04-20 04:15
1650429000,2280,2022-04-20 04:30
1650429900,1774,2022-04-20 04:45
1650430800,1463,2022-04-20 05:00
1650431700,1461,2022-04-20 05:15
1650432600,1272,2022-04-20 05:30
1650433500,1019,2022-04-20 05:45
1650434400,1142,2022-04-20 06:00
1650435300,1453,2022-04-20 06:15
1650436200,1625,2022-04-20 06:30
1650437100,1552,2022-04-20 06:45
1650438000,1663,2022-04-20 07:00
1650438900,1311,2022-04-20 07:15
1650439800,1404,2022-04-20 07:30
1650440700,1400,2022-04-20 07:45
1650441600,1460,2022-04-20 08:00
1650442500,1786,2022-04-20 08:15
1650443400,1950,2022-04-20 08:30
1650444300,1872,2022-04-20 08:45
1650445200,1688,2022-04-20 09:00
1650446100,1842,2022-04-20 09:15
1650447000,2574,2022-04-20 09:30
1650447900,1598,2022-04-20 09:45
1650448800,1340,2022-04-20 10:00
1650449700,1363,2022-04-20 10:15
1650450600,1181,2022-04-20 10:30
1650451500,1242,2022-04-20 10:45
