ts,wh,
1651619700,1557,2022-05-03 23:15
1651620600,1437,2022-05-03 23:30
1651621500,1827,2022-05-03 23:45
1651622400,1853,2022-05-04 00:00
1651623300,1786,2022-05-04 00:15
1651624200,1544,2022-05-04 00:30
1651625100,1551,2022-05-04 00:45
1651626000,1151,2022-05-04 01:00
1651626900,1195,2022-05-04 01:15
1651627800,1444,2022-05-04 01:30
1651628700,1448,2022-05-04 01:45
1651629600,1730,2022-05-04 02:00
1651630500,1717,2022-05-04 02:15
1651631400,1495,2022-05-04 02:30
1651632300,1244,2022-05-04 02:45
1651633200,1693,2022-05-04 03:00
1651634100,1620,2022-05-04 03:15
1651635000,1130,2022-05-04 03:30
1651635900,1547,2022-05-04 03:45
1651636800,1595,2022-05-04 04:00
1651637700,1382,2022-05-04 04:15
1651638600,1120,2022-05-04 04:30
1651639500,867,2022-05-04 04:45
1651640400,950,2022-05-04 05:00
1651641300,855,2022-05-04 05:15
1651642200,833,2022-05-04 05:30
1651643100,1253,2022-05-04 05:45
1651644000,1277,2022-05-04 06:00
1651644900,1025,2022-05-04 06:15
1651645800,1365,2022-05-04 06:30
1651646700,1481,2022-05-04 06:45
1651647600,1809,2022-05-04 07:00
1651648500,1524,2022-05-04 07:15
1651649400,0,2022-05-04 07:30
1651650300,0,2022-05-04 07:45
1651651200,0,2022-05-04 08:00
1651652100,0,2022-05-04 08:15
1651653000,262,2022-05-04 08:30
1651653900,2248,2022-05-04 08:45
1651654800,2442,2022-05-04 09:00
1651655700,1960,2022-05-04 09:15
1651656600,1624,2022-05-04 09:30
1651657500,1358,2022-05-04 09:45
1651658400,792,2022-05-04 10:00
1651659300,807,2022-05-04 10:15
1651660200,836,2022-05-04 10:30
1651661100,878,2022-05-04 10:45
1651662000,960,2022-05-04 11:00
1651662900,854,2022-05-04 11:15
1651663800,1075,2022-05-04 11:30
1651664700,706,2022-05-04 11:45
1651665600,684,2022-05-04 12:00
1651666500,0,2022-05-04 12:15
1651667400,0,2022-05-04 12:30
1651668300,597,2022-05-04 12:45
1651669200,2307,2022-05-04 13:00
1651670100,1998,2022-05-04 13:15
1651671000,2025,2022-05-04 13:30
1651671900,1851,2022-05-04 13:45
1651672800,1735,2022-05-04 14:00
1651673700,1480,2022-05-04 14:15
1651674600,1346,2022-05-04 14:30
1651675500,1259,2022-05-04 14:45
1651676400,1616,2022-05-04 15:00
1651677300,1469,2022-05-04 15:15
1651678200,1526,2022-05-04 15:30
1651679100,1290,2022-05-04 15:45
1651680000,1302,2022-05-04 16:00
1651680900,1432,2022-05-04 16:15
1651681800,1639,2022-05-04 16:30
1651682700,1423,2022-05-04 16:45
1651683600,1725,2022-05-04 17:00
1651684500,1371,2022-05-04 17:15
1651685400,1286,2022-05-04 17:30
1651686300,1399,2022-05-04 17:45
1651687200,1703,2022-05-04 18:00
1651688100,1535,2022-05-04 18:15
1651689000,1339,2022-05-04 18:30
1651689900,1508,2022-05-04 18:45
1651690800,1410,2022-05-04 19:00
1651691700,1528,2022-05-04 19:15
1651692600,1402,2022-05-04 19:30
1651693500,1378,2022-05-04 19:45
1651694400,1519,2022-05-04 20:00
1651695300,1355,2022-05-04 20:15
1651696200,1379,2022-05-04 20:30
1651697100,1237,2022-05-04 20:45
1651698000,1379,2022-05-04 21:00
1651698900,1261,2022-05-04 21:15
1651699800,1363,2022-05-04 21:30
1651700700,1253,2022-05-04 21:45
1651701600,1347,2022-05-04 22:00
1651702500,1396,2022-05-04 22:15
1651703400,1355,2022-05-04 22:30
1651704300,1445,2022-05-04 22:45
1651705200,1416,2022-05-04 23:00
1651706100,1905,2022-05-04 23:15
1651707000,1426,2022-05-04 23:30
1651707900,1534,2022-05-04 23:45
1651708800,1576,2022-05-05 00:00
1651709700,1550,2022-05-05 00:15
1651710600,1455,2022-05-05 00:30
1651711500,1579,2022-05-05 00:45
1651712400,1528,2022-05-05 01:00
1651713300,1373,2022-05-05 01:15
1651714200,1495,2022-05-05 01:30
1651715100,1501,2022-05-05 01:45
1651716000,1179,2022-05-05 02:00
1651716900,1258,2022-05-05 02:15
1651717800,1066,2022-05-05 02:30
1651718700,1935,2022-05-05 02:45
1651719600,2143,2022-05-05 03:00
1651720500,1643,2022-05-05 03:15
1651721400,1712,2022-05-05 03:30
1651722300,2162,2022-05-05 03:45
1651723200,1852,2022-05-05 04:00
1651724100,1014,2022-05-05 04:15
1651725000,936,2022-05-05 04:30
1651725900,1304,2022-05-05 04:45
1651726800,783,2022-05-05 05:00
1651727700,706,2022-05-05 05:15
1651728600,783,2022-05-05 05:30
1651729500,948,2022-05-05 05:45
1651730400,1172,2022-05-05 06:00
1651731300,837,2022-05-05 06:15
1651732200,1464,2022-05-05 06:30
1651733100,1158,2022-05-05 06:45
1651734000,1641,2022-05-05 07:00
1651734900,2309,2022-05-05 07:15
1651735800,1533,2022-05-05 07:30
1651736700,0,2022-05-05 07:45
1651737600,0,2022-05-05 08:00
1651738500,0,2022-05-05 08:15
1651739400,18,2022-05-05 08:30
1651740300,2040,2022-05-05 08:45
1651741200,3492,2022-05-05 09:00
1651742100,3230,2022-05-05 09:15
1651743000,2359,2022-05-05 09:30
1651743900,1854,2022-05-05 09:45
1651744800,1470,2022-05-05 10:00
1651745700,1245,2022-05-05 10:15
1651746600,922,2022-05-05 10:30
1651747500,979,2022-05-05 10:45
1651748400,1366,2022-05-05 11:00
1651749300,1183,2022-05-05 11:15
1651750200,1174,2022-05-05 11:30
1651751100,494,2022-05-05 11:45
1651752000,0,2022-05-05 12:00
1651752900,0,2022-05-05 12:15
1651753800,0,2022-05-05 12:30
1651754700,188,2022-05-05 12:45
1651755600,2285,2022-05-05 13:00
1651756500,1842,2022-05-05 13:15
1651757400,1811,2022-05-05 13:30
1651758300,1436,2022-05-05 13:45
1651759200,1629,2022-05-05 14:00
1651760100,1723,2022-05-05 14:15
1651761000,1808,2022-05-05 14:30
1651761900,2141,2022-05-05 14:45
1651762800,2028,2022-05-05 15:00
1651763700,1820,2022-05-05 15:15
1651764600,1770,2022-05-05 15:30
1651765500,1266,2022-05-05 15:45
1651766400,1336,2022-05-05 16:00
1651767300,1078,2022-05-05 16:15
1651768200,1106,2022-05-05 16:30
1651769100,1659,2022-05-05 16:45
1651770000,1331,2022-05-05 17:00
1651770900,1287,2022-05-05 17:15
1651771800,1380,2022-05-05 17:30
1651772700,1126,2022-05-05 17:45
1651773600,1612,2022-05-05 18:00
1651774500,1419,2022-05-05 18:15
1651775400,1507,2022-05-05 18:30
1651776300,1466,2022-05-05 18:45
1651777200,1326,2022-05-05 19:00
1651778100,1432,2022-05-05 19:15
1651779000,1318,2022-05-05 19:30
1651779900,1300,2022-05-05 19:45
1651780800,1480,2022-05-05 20:00
1651781700,1313,2022-05-05 20:15
1651782600,1532,2022-05-05 20:30
1651783500,1427,2022-05-05 20:45
1651784400,1340,2022-05-05 21:00
1651785300,1416,2022-05-05 21:15
1651786200,1605,2022-05-05 21:30
1651787100,1621,2022-05-05 21:45
1651788000,1227,2022-05-05 22:00
1651788900,1556,2022-05-05 22:15
1651789800,1618,2022-05-05 22:30
1651790700,1980,2022-05-05 22:45
1651791600,1724,2022-05-05 23:00
1651792500,1654,2022-05-05 23:15
1651793400,1567,2022-05-05 23:30
1651794300,1795,2022-05-05 23:45
1651795200,1848,2022-05-06 00:00
1651796100,1636,2022-05-06 00:15
1651797000,1349,2022-05-06 00:30
1651797900,1352,2022-05-06 00:45
1651798800,1285,2022-05-06 01:00
1651799700,923,2022-05-06 01:15
1651800600,1235,2022-05-06 01:30
1651801500,1301,2022-05-06 01:45
1651802400,1153,2022-05-06 02:00
1651803300,924,2022-05-06 02:15
1651804200,973,2022-05-06 02:30
1651805100,723,2022-05-06 02:45
1651806000,873,2022-05-06 03:00
1651806900,758,2022-05-06 03:15
1651807800,862,2022-05-06 03:30
1651808700,624,2022-05-06 03:45
1651809600,651,2022-05-06 04:00
1651810500,566,2022-05-06 04:15
1651811400,675,2022-05-06 04:30
1651812300,537,2022-05-06 04:45
1651813200,602,2022-05-06 05:00
1651814100,623,2022-05-06 05:15
1651815000,105,2022-05-06 05:30
1651815900,0,2022-05-06 05:45
1651816800,0,2022-05-06 06:00
1651817700,0,2022-05-06 06:15
1651818600,1744,2022-05-06 06:30
1651819500,1422,2022-05-06 06:45
1651820400,1477,2022-05-06 07:00
1651821300,1100,2022-05-06 07:15
1651822200,0,2022-05-06 07:30
1651823100,0,2022-05-06 07:45
1651824000,0,2022-05-06 08:00
1651824900,0,2022-05-06 08:15
1651825800,1126,2022-05-06 08:30
1651826700,1569,2022-05-06 08:45
1651827600,1322,2022-05-06 09:00
1651828500,773,2022-05-06 09:15
1651829400,803,2022-05-06 09:30
1651830300,672,2022-05-06 09:45
1651831200,703,2022-05-06 10:00
1651832100,689,2022-05-06 10:15
1651833000,680,2022-05-06 10:30
1651833900,756,2022-05-06 10:45
1651834800,915,2022-05-06 11:00
1651835700,1044,2022-05-06 11:15
1651836600,920,2022-05-06 11:30
1651837500,673,2022-05-06 11:45
1651838400,512,2022-05-06 12:00
1651839300,0,2022-05-06 12:15
1651840200,0,2022-05-06 12:30
1651841100,0,2022-05-06 12:45
1651842000,1548,2022-05-06 13:00
1651842900,1706,2022-05-06 13:15
1651843800,1544,2022-05-06 13:30
1651844700,1092,2022-05-06 13:45
1651845600,952,2022-05-06 14:00
1651846500,1034,2022-05-06 14:15
1651847400,1068,2022-05-06 14:30
1651848300,1085,2022-05-06 14:45
1651849200,688,2022-05-06 15:00
1651850100,717,2022-05-06 15:15
1651851000,1273,2022-05-06 15:30
1651851900,1224,2022-05-06 15:45
1651852800,934,2022-05-06 16:00
1651853700,1074,2022-05-06 16:15
1651854600,1434,2022-05-06 16:30
1651855500,1217,2022-05-06 16:45
1651856400,986,2022-05-06 17:00
1651857300,991,2022-05-06 17:15
1651858200,1050,2022-05-06 17:30
1651859100,1005,2022-05-06 17:45
1651860000,1070,2022-05-06 18:00
1651860900,1117,2022-05-06 18:15
1651861800,1139,2022-05-06 18:30
1651862700,1139,2022-05-06 18:45
1651863600,1211,2022-05-06 19:00
1651864500,1129,2022-05-06 19:15
1651865400,1115,2022-05-06 19:30
1651866300,1180,2022-05-06 19:45
1651867200,1277,2022-05-06 20:00
1651868100,1136,2022-05-06 20:15
1651869000,1213,2022-05-06 20:30
1651869900,1360,2022-05-06 20:45
1651870800,1265,2022-05-06 21:00
1651871700,1228,2022-05-06 21:15
1651872600,1127,2022-05-06 21:30
1651873500,998,2022-05-06 21:45
1651874400,1084,2022-05-06 22:00
1651875300,1355,2022-05-06 22:15
1651876200,1013,2022-05-06 22:30
1651877100,1079,2022-05-06 22:45
1651878000,1477,2022-05-06 23:00
1651878900,1898,2022-05-06 23:15
1651879800,1813,2022-05-06 23:30
1651880700,1326,2022-05-06 23:45
1651881600,1333,2022-05-07 00:00
1651882500,1697,2022-05-07 00:15
1651883400,1682,2022-05-07 00:30
1651884300,1126,2022-05-07 00:45
1651885200,1085,2022-05-07 01:00
1651886100,1209,2022-05-07 01:15
1651887000,1211,2022-05-07 01:30
1651887900,1374,2022-05-07 01:45
1651888800,1025,2022-05-07 02:00
1651889700,1009,2022-05-07 02:15
1651890600,853,2022-05-07 02:30
1651891500,771,2022-05-07 02:45
1651892400,813,2022-05-07 03:00
1651893300,639,2022-05-07 03:15
1651894200,914,2022-05-07 03:30
1651895100,732,2022-05-07 03:45
1651896000,906,2022-05-07 04:00
1651896900,1311,2022-05-07 04:15
1651897800,855,2022-05-07 04:30
1651898700,550,2022-05-07 04:45
1651899600,603,2022-05-07 05:00
1651900500,481,2022-05-07 05:15
1651901400,32,2022-05-07 05:30
1651902300,0,2022-05-07 05:45
1651903200,0,2022-05-07 06:00
1651904100,666,2022-05-07 06:15
1651905000,1243,2022-05-07 06:30
1651905900,925,2022-05-07 06:45
1651906800,705,2022-05-07 07:00
1651907700,589,2022-05-07 07:15
1651908600,0,2022-05-07 07:30
1651909500,0,2022-05-07 07:45
1651910400,0,2022-05-07 08:00
1651911300,100,2022-05-07 08:15
1651912200,1502,2022-05-07 08:30
1651913100,1215,2022-05-07 08:45
1651914000,1347,2022-05-07 09:00
1651914900,1119,2022-05-07 09:15
1651915800,1210,2022-05-07 09:30
1651916700,1240,2022-05-07 09:45
1651917600,1218,2022-05-07 10:00
1651918500,967,2022-05-07 10:15
1651919400,1236,2022-05-07 10:30
1651920300,915,2022-05-07 10:45
1651921200,719,2022-05-07 11:00
1651922100,527,2022-05-07 11:15
1651923000,607,2022-05-07 11:30
1651923900,666,2022-05-07 11:45
1651924800,606,2022-05-07 12:00
1651925700,4,2022-05-07 12:15
1651926600,0,2022-05-07 12:30
1651927500,431,2022-05-07 12:45
1651928400,2160,2022-05-07 13:00
1651929300,2013,2022-05-07 13:15
1651930200,1551,2022-05-07 13:30
1651931100,1289,2022-05-07 13:45
1651932000,880,2022-05-07 14:00
1651932900,539,2022-05-07 14:15
1651933800,693,2022-05-07 14:30
1651934700,1009,2022-05-07 14:45
1651935600,1623,2022-05-07 15:00
1651936500,1279,2022-05-07 15:15
1651937400,969,2022-05-07 15:30
1651938300,1009,2022-05-07 15:45
1651939200,1055,2022-05-07 16:00
1651940100,996,2022-05-07 16:15
1651941000,1097,2022-05-07 16:30
1651941900,1012,2022-05-07 16:45
1651942800,977,2022-05-07 17:00
1651943700,1022,2022-05-07 17:15
1651944600,1116,2022-05-07 17:30
1651945500,1391,2022-05-07 17:45
1651946400,1347,2022-05-07 18:00
1651947300,1075,2022-05-07 18:15
1651948200,1418,2022-05-07 18:30
1651949100,1297,2022-05-07 18:45
1651950000,1148,2022-05-07 19:00
1651950900,889,2022-05-07 19:15
1651951800,998,2022-05-07 19:30
1651952700,748,2022-05-07 19:45
1651953600,983,2022-05-07 20:00
1651954500,1010,2022-05-07 20:15
1651955400,1338,2022-05-07 20:30
1651956300,1334,2022-05-07 20:45
1651957200,1253,2022-05-07 21:00
1651958100,1352,2022-05-07 21:15
1651959000,1481,2022-05-07 21:30
1651959900,1773,2022-05-07 21:45
1651960800,1654,2022-05-07 22:00
1651961700,1679,2022-05-07 22:15
1651962600,1539,2022-05-07 22:30
1651963500,1164,2022-05-07 22:45
1651964400,1252,2022-05-07 23:00
1651965300,1036,2022-05-07 23:15
1651966200,1083,2022-05-07 23:30
1651967100,1375,2022-05-07 23:45
1651968000,1293,2022-05-08 00:00
1651968900,1569,2022-05-08 00:15
1651969800,1339,2022-05-08 00:30
1651970700,1269,2022-05-08 00:45
1651971600,1395,2022-05-08 01:00
1651972500,1373,2022-05-08 01:15
1651973400,1482,2022-05-08 01:30
1651974300,1156,2022-05-08 01:45
1651975200,1212,2022-05-08 02:00
1651976100,1662,2022-05-08 02:15
1651977000,1844,2022-05-08 02:30
1651977900,1967,2022-05-08 02:45
1651978800,1536,2022-05-08 03:00
1651979700,1045,2022-05-08 03:15
1651980600,1255,2022-05-08 03:30
1651981500,1166,2022-05-08 03:45
1651982400,871,2022-05-08 04:00
1651983300,1367,2022-05-08 04:15
1651984200,1342,2022-05-08 04:30
1651985100,1424,2022-05-08 04:45
1651986000,1628,2022-05-08 05:00
1651986900,1494,2022-05-08 05:15
1651987800,1576,2022-05-08 05:30
1651988700,1764,2022-05-08 05:45
1651989600,1852,2022-05-08 06:00
1651990500,2088,2022-05-08 06:15
1651991400,1583,2022-05-08 06:30
1651992300,1594,2022-05-08 06:45
1651993200,1919,2022-05-08 07:00
1651994100,1537,2022-05-08 07:15
1651995000,1426,2022-05-08 07:30
1651995900,1475,2022-05-08 07:45
1651996800,1582,2022-05-08 08:00
1651997700,1766,2022-05-08 08:15
1651998600,2228,2022-05-08 08:30
1651999500,2441,2022-05-08 08:45
1652000400,1951,2022-05-08 09:00
1652001300,2375,2022-05-08 09:15
1652002200,2525,2022-05-08 09:30
1652003100,2458,2022-05-08 09:45
1652004000,2567,2022-05-08 10:00
1652004900,2106,2022-05-08 10:15
1652005800,1848,2022-05-08 10:30
1652006700,1914,2022-05-08 10:45
1652007600,1991,2022-05-08 11:00
1652008500,1954,2022-05-08 11:15
1652009400,1967,2022-05-08 11:30
1652010300,1633,2022-05-08 11:45
1652011200,39,2022-05-08 12:00
1652012100,0,2022-05-08 12:15
1652013000,0,2022-05-08 12:30
1652013900,0,2022-05-08 12:45
1652014800,0,2022-05-08 13:00
1652015700,0,2022-05-08 13:15
1652016600,261,2022-05-08 13:30
1652017500,833,2022-05-08 13:45
1652018400,657,2022-05-08 14:00
1652019300,1028,2022-05-08 14:15
1652020200,1024,2022-05-08 14:30
1652021100,1245,2022-05-08 14:45
1652022000,1109,2022-05-08 15:00
1652022900,1035,2022-05-08 15:15
1652023800,717,2022-05-08 15:30
1652024700,1037,2022-05-08 15:45
1652025600,1175,2022-05-08 16:00
1652026500,695,2022-05-08 16:15
1652027400,830,2022-05-08 16:30
1652028300,1091,2022-05-08 16:45
1652029200,663,2022-05-08 17:00
1652030100,677,2022-05-08 17:15
1652031000,710,2022-05-08 17:30
1652031900,670,2022-05-08 17:45
1652032800,661,2022-05-08 18:00
1652033700,723,2022-05-08 18:15
1652034600,606,2022-05-08 18:30
1652035500,730,2022-05-08 18:45
1652036400,614,2022-05-08 19:00
1652037300,699,2022-05-08 19:15
1652038200,606,2022-05-08 19:30
1652039100,678,2022-05-08 19:45
1652040000,865,2022-05-08 20:00
1652040900,624,2022-05-08 20:15
1652041800,880,2022-05-08 20:30
1652042700,769,2022-05-08 20:45
1652043600,887,2022-05-08 21:00
1652044500,1015,2022-05-08 21:15
1652045400,877,2022-05-08 21:30
1652046300,980,2022-05-08 21:45
1652047200,890,2022-05-08 22:00
1652048100,912,2022-05-08 22:15
1652049000,987,2022-05-08 22:30
1652049900,898,2022-05-08 22:45
1652050800,1033,2022-05-08 23:00
1652051700,1401,2022-05-08 23:15
1652052600,1280,2022-05-08 23:30
1652053500,1341,2022-05-08 23:45
1652054400,903,2022-05-09 00:00
1652055300,1262,2022-05-09 00:15
1652056200,1267,2022-05-09 00:30
1652057100,933,2022-05-09 00:45
1652058000,1081,2022-05-09 01:00
1652058900,826,2022-05-09 01:15
1652059800,720,2022-05-09 01:30
1652060700,783,2022-05-09 01:45
1652061600,1081,2022-05-09 02:00
1652062500,1191,2022-05-09 02:15
1652063400,1745,2022-05-09 02:30
1652064300,1686,2022-05-09 02:45
1652065200,1571,2022-05-09 03:00
1652066100,1068,2022-05-09 03:15
1652067000,1092,2022-05-09 03:30
1652067900,1314,2022-05-09 03:45
1652068800,1366,2022-05-09 04:00
1652069700,1601,2022-05-09 04:15
1652070600,1121,2022-05-09 04:30
1652071500,1251,2022-05-09 04:45
1652072400,1434,2022-05-09 05:00
1652073300,1583,2022-05-09 05:15
1652074200,1384,2022-05-09 05:30
1652075100,792,2022-05-09 05:45
1652076000,1123,2022-05-09 06:00
1652076900,1093,2022-05-09 06:15
1652077800,1352,2022-05-09 06:30
1652078700,841,2022-05-09 06:45
1652079600,784,2022-05-09 07:00
1652080500,1290,2022-05-09 07:15
1652081400,252,2022-05-09 07:30
1652082300,288,2022-05-09 07:45
1652083200,1817,2022-05-09 08:00
1652084100,1261,2022-05-09 08:15
1652085000,1060,2022-05-09 08:30
1652085900,1592,2022-05-09 08:45
1652086800,1433,2022-05-09 09:00
1652087700,1621,2022-05-09 09:15
1652088600,1899,2022-05-09 09:30
1652089500,1658,2022-05-09 09:45
1652090400,1767,2022-05-09 10:00
1652091300,1526,2022-05-09 10:15
1652092200,1611,2022-05-09 10:30
1652093100,1272,2022-05-09 10:45
1652094000,1636,2022-05-09 11:00
1652094900,1623,2022-05-09 11:15
1652095800,1507,2022-05-09 11:30
1652096700,1519,2022-05-09 11:45
1652097600,1747,2022-05-09 12:00
1652098500,1845,2022-05-09 12:15
1652099400,1476,2022-05-09 12:30
1652100300,1336,2022-05-09 12:45
1652101200,1869,2022-05-09 13:00
1652102100,1679,2022-05-09 13:15
1652103000,1547,2022-05-09 13:30
1652103900,1513,2022-05-09 13:45
1652104800,1712,2022-05-09 14:00
1652105700,1951,2022-05-09 14:15
1652106600,2326,2022-05-09 14:30
1652107500,2589,2022-05-09 14:45
1652108400,2070,2022-05-09 15:00
1652109300,1756,2022-05-09 15:15
1652110200,1425,2022-05-09 15:30
1652111100,1533,2022-05-09 15:45
1652112000,1932,2022-05-09 16:00
1652112900,1604,2022-05-09 16:15
1652113800,1237,2022-05-09 16:30
1652114700,1164,2022-05-09 16:45
1652115600,1287,2022-05-09 17:00
1652116500,1160,2022-05-09 17:15
1652117400,1334,2022-05-09 17:30
1652118300,1136,2022-05-09 17:45
1652119200,1025,2022-05-09 18:00
1652120100,924,2022-05-09 18:15
1652121000,1328,2022-05-09 18:30
1652121900,1724,2022-05-09 18:45
1652122800,2000,2022-05-09 19:00
1652123700,1473,2022-05-09 19:15
1652124600,1692,2022-05-09 19:30
1652125500,1643,2022-05-09 19:45
1652126400,1282,2022-05-09 20:00
1652127300,1313,2022-05-09 20:15
1652128200,1462,2022-05-09 20:30
1652129100,1703,2022-05-09 20:45
1652130000,1539,2022-05-09 21:00
1652130900,1655,2022-05-09 21:15
1652131800,1538,2022-05-09 21:30
1652132700,1573,2022-05-09 21:45
1652133600,2051,2022-05-09 22:00
1652134500,2043,2022-05-09 22:15
1652135400,1926,2022-05-09 22:30
1652136300,2133,2022-05-09 22:45
1652137200,2448,2022-05-09 23:00
1652138100,2600,2022-05-09 23:15
1652139000,2579,2022-05-09 23:30
1652139900,2368,2022-05-09 23:45
1652140800,1934,2022-05-10 00:00
1652141700,1866,2022-05-10 00:15
1652142600,2158,2022-05-10 00:30
1652143500,2187,2022-05-10 00:45
1652144400,2656,2022-05-10 01:00
1652145300,1575,2022-05-10 01:15
1652146200,1645,2022-05-10 01:30
1652147100,1853,2022-05-10 01:45
1652148000,1940,2022-05-10 02:00
1652148900,1677,2022-05-10 02:15
1652149800,1726,2022-05-10 02:30
1652150700,2132,2022-05-10 02:45
1652151600,1941,2022-05-10 03:00
1652152500,1799,2022-05-10 03:15
1652153400,1559,2022-05-10 03:30
1652154300,1108,2022-05-10 03:45
1652155200,974,2022-05-10 04:00
1652156100,1118,2022-05-10 04:15
1652157000,1266,2022-05-10 04:30
1652157900,1241,2022-05-10 04:45
1652158800,1972,2022-05-10 05:00
1652159700,1311,2022-05-10 05:15
1652160600,1371,2022-05-10 05:30
1652161500,986,2022-05-10 05:45
1652162400,953,2022-05-10 06:00
1652163300,1308,2022-05-10 06:15
1652164200,1175,2022-05-10 06:30
1652165100,1268,2022-05-10 06:45
1652166000,1144,2022-05-10 07:00
1652166900,1104,2022-05-10 07:15
1652167800,952,2022-05-10 07:30
1652168700,914,2022-05-10 07:45
1652169600,1129,2022-05-10 08:00
1652170500,1116,2022-05-10 08:15
1652171400,962,2022-05-10 08:30
1652172300,1119,2022-05-10 08:45
1652173200,1147,2022-05-10 09:00
1652174100,1538,2022-05-10 09:15
1652175000,1478,2022-05-10 09:30
1652175900,1376,2022-05-10 09:45
1652176800,1424,2022-05-10 10:00
1652177700,1129,2022-05-10 10:15
1652178600,1140,2022-05-10 10:30
1652179500,1339,2022-05-10 10:45
1652180400,1631,2022-05-10 11:00
1652181300,1440,2022-05-10 11:15
1652182200,1287,2022-05-10 11:30
1652183100,1221,2022-05-10 11:45
1652184000,1098,2022-05-10 12:00
1652184900,1177,2022-05-10 12:15
1652185800,1110,2022-05-10 12:30
1652186700,1095,2022-05-10 12:45
1652187600,1018,2022-05-10 13:00
1652188500,1158,2022-05-10 13:15
1652189400,1102,2022-05-10 13:30
1652190300,741,2022-05-10 13:45
1652191200,667,2022-05-10 14:00
1652192100,1082,2022-05-10 14:15
1652193000,1020,2022-05-10 14:30
1652193900,1949,2022-05-10 14:45
1652194800,1415,2022-05-10 15:00
1652195700,1522,2022-05-10 15:15
1652196600,1019,2022-05-10 15:30
1652197500,1228,2022-05-10 15:45
1652198400,1485,2022-05-10 16:00
1652199300,893,2022-05-10 16:15
1652200200,896,2022-05-10 16:30
1652201100,992,2022-05-10 16:45
1652202000,886,2022-05-10 17:00
1652202900,1119,2022-05-10 17:15
1652203800,1133,2022-05-10 17:30
1652204700,1465,2022-05-10 17:45
1652205600,1255,2022-05-10 18:00
1652206500,921,2022-05-10 18:15
1652207400,1017,2022-05-10 18:30
1652208300,917,2022-05-10 18:45
1652209200,1175,2022-05-10 19:00
1652210100,917,2022-05-10 19:15
1652211000,884,2022-05-10 19:30
1652211900,1104,2022-05-10 19:45
1652212800,1248,2022-05-10 20:00
1652213700,1250,2022-05-10 20:15
1652214600,996,2022-05-10 20:30
1652215500,1416,2022-05-10 20:45
1652216400,1431,2022-05-10 21:00
1652217300,1073,2022-05-10 21:15
1652218200,985,2022-05-10 21:30
1652219100,1079,2022-05-10 21:45
1652220000,1092,2022-05-10 22:00
1652220900,1104,2022-05-10 22:15
1652221800,809,2022-05-10 22:30
1652222700,916,2022-05-10 22:45
1652223600,1193,2022-05-10 23:00
1652224500,1055,2022-05-10 23:15
1652225400,1594,2022-05-10 23:30
1652226300,1803,2022-05-10 23:45
1652227200,1758,2022-05-11 00:00
1652228100,1489,2022-05-11 00:15
1652229000,1291,2022-05-11 00:30
1652229900,1323,2022-05-11 00:45
1652230800,1301,2022-05-11 01:00
1652231700,1833,2022-05-11 01:15
1652232600,1891,2022-05-11 01:30
1652233500,1394,2022-05-11 01:45
1652234400,953,2022-05-11 02:00
1652235300,869,2022-05-11 02:15
1652236200,1226,2022-05-11 02:30
1652237100,2086,2022-05-11 02:45
1652238000,1270,2022-05-11 03:00
1652238900,1012,2022-05-11 03:15
1652239800,1200,2022-05-11 03:30
1652240700,1477,2022-05-11 03:45
1652241600,1160,2022-05-11 04:00
1652242500,1096,2022-05-11 04:15
1652243400,1232,2022-05-11 04:30
1652244300,1063,2022-05-11 04:45
1652245200,1057,2022-05-11 05:00
1652246100,1158,2022-05-11 05:15
1652247000,1048,2022-05-11 05:30
1652247900,1601,2022-05-11 05:45
1652248800,1412,2022-05-11 06:00
1652249700,1101,2022-05-11 06:15
1652250600,803,2022-05-11 06:30
1652251500,778,2022-05-11 06:45
1652252400,903,2022-05-11 07:00
1652253300,762,2022-05-11 07:15
1652254200,733,2022-05-11 07:30
1652255100,549,2022-05-11 07:45
1652256000,704,2022-05-11 08:00
1652256900,1362,2022-05-11 08:15
1652257800,1101,2022-05-11 08:30
1652258700,1040,2022-05-11 08:45
1652259600,1472,2022-05-11 09:00
1652260500,1221,2022-05-11 09:15
1652261400,1317,2022-05-11 09:30
1652262300,1261,2022-05-11 09:45
1652263200,1211,2022-05-11 10:00
1652264100,1212,2022-05-11 10:15
1652265000,861,2022-05-11 10:30
1652265900,960,2022-05-11 10:45
1652266800,1243,2022-05-11 11:00
1652267700,1057,2022-05-11 11:15
1652268600,896,2022-05-11 11:30
1652269500,933,2022-05-11 11:45
1652270400,863,2022-05-11 12:00
1652271300,690,2022-05-11 12:15
1652272200,792,2022-05-11 12:30
1652273100,761,2022-05-11 12:45
1652274000,865,2022-05-11 13:00
1652274900,1309,2022-05-11 13:15
1652275800,798,2022-05-11 13:30
1652276700,745,2022-05-11 13:45
1652277600,647,2022-05-11 14:00
1652278500,1132,2022-05-11 14:15
1652279400,1344,2022-05-11 14:30
1652280300,1195,2022-05-11 14:45
1652281200,776,2022-05-11 15:00
1652282100,908,2022-05-11 15:15
1652283000,1082,2022-05-11 15:30
1652283900,1029,2022-05-11 15:45
1652284800,802,2022-05-11 16:00
1652285700,731,2022-05-11 16:15
1652286600,723,2022-05-11 16:30
1652287500,802,2022-05-11 16:45
1652288400,758,2022-05-11 17:00
1652289300,912,2022-05-11 17:15
1652290200,1098,2022-05-11 17:30
1652291100,865,2022-05-11 17:45
1652292000,922,2022-05-11 18:00
