key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh,GB3_kwh
TARABA_DG1_And_DG2_1710806400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 23:00:00,2024-03-18 23:15:00,1710806400,161.35,117.69,0.0,1.88,8410.82,7751.45,-568.18,-415.85,0.143,2.547,0.175
TARABA_DG1_And_DG2_1710807300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 23:15:00,2024-03-18 23:30:00,1710807300,161.35,117.31,0.0,0.0,8411.07,7751.45,-568.43,-415.85,0.143,2.476,0.175
TARABA_DG1_And_DG2_1710808200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 23:30:00,2024-03-18 23:45:00,1710808200,161.35,115.06,0.0,1.88,8411.32,7751.45,-568.68,-415.85,0.143,2.436,0.175
TARABA_DG1_And_DG2_1710809100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-18 23:45:00,2024-03-19 00:00:00,1710809100,161.35,114.31,0.0,1.13,8411.57,7751.45,-568.93,-415.85,0.143,2.385,0.175
TARABA_DG1_And_DG2_1710810000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 00:00:00,2024-03-19 00:15:00,1710810000,161.35,113.18,0.0,1.5,8411.82,7751.45,-569.18,-415.85,0.143,2.414,0.175
TARABA_DG1_And_DG2_1710810900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 00:15:00,2024-03-19 00:30:00,1710810900,161.35,112.05,0.0,1.13,8412.07,7751.45,-569.43,-415.85,0.143,2.627,0.175
TARABA_DG1_And_DG2_1710811800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 00:30:00,2024-03-19 00:45:00,1710811800,161.35,110.92,0.0,1.13,8412.32,7751.45,-569.68,-415.85,0.143,2.607,0.175
TARABA_DG1_And_DG2_1710812700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 00:45:00,2024-03-19 01:00:00,1710812700,161.35,109.42,0.0,1.5,8412.57,7751.45,-569.93,-415.85,0.143,2.509,0.175
TARABA_DG1_And_DG2_1710813600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 01:00:00,2024-03-19 01:15:00,1710813600,161.35,107.54,0.0,1.88,8412.82,7751.45,-570.18,-415.85,0.143,2.556,0.175
TARABA_DG1_And_DG2_1710814500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 01:15:00,2024-03-19 01:30:00,1710814500,161.35,106.79,0.0,0.75,8413.07,7751.45,-570.43,-415.85,0.143,2.542,0.175
TARABA_DG1_And_DG2_1710815400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 01:30:00,2024-03-19 01:45:00,1710815400,161.35,105.28,0.0,1.50,8413.32,7751.45,-570.68,-415.85,0.143,2.487,0.175
TARABA_DG1_And_DG2_1710816300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 01:45:00,2024-03-19 02:00:00,1710816300,161.35,104.16,0.0,1.12,8413.57,7751.45,-570.93,-415.85,0.143,2.684,0.175
TARABA_DG1_And_DG2_1710817200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 02:00:00,2024-03-19 02:15:00,1710817200,161.35,102.65,0.0,1.50,8413.82,7751.45,-571.18,-415.85,0.143,2.555,0.175
TARABA_DG1_And_DG2_1710818100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-19 02:15:00,2024-03-19 02:30:00,1710818100,161.35,101.52,0.0,1.13,8414.07,7751.45,-571.43,-415.85,0.143,2.345,0.175
