key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh,GB3_kwh
TARABA_DG1_And_DG2_1713052800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-13 23:00:00,2024-04-13 23:15:00,1713052800,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.717
TARABA_DG1_And_DG2_1713053700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-13 23:15:00,2024-04-13 23:30:00,1713053700,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.76
TARABA_DG1_And_DG2_1713054600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-13 23:30:00,2024-04-13 23:45:00,1713054600,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,3.146
TARABA_DG1_And_DG2_1713055500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-13 23:45:00,2024-04-14 00:00:00,1713055500,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,3.219
TARABA_DG1_And_DG2_1713056400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 00:00:00,2024-04-14 00:15:00,1713056400,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.81
TARABA_DG1_And_DG2_1713057300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 00:15:00,2024-04-14 00:30:00,1713057300,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.682
TARABA_DG1_And_DG2_1713058200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 00:30:00,2024-04-14 00:45:00,1713058200,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.844
TARABA_DG1_And_DG2_1713059100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 00:45:00,2024-04-14 01:00:00,1713059100,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,3.029
TARABA_DG1_And_DG2_1713060000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 01:00:00,2024-04-14 01:15:00,1713060000,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.896
TARABA_DG1_And_DG2_1713060900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 01:15:00,2024-04-14 01:30:00,1713060900,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.66
TARABA_DG1_And_DG2_1713061800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 01:30:00,2024-04-14 01:45:00,1713061800,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.653
TARABA_DG1_And_DG2_1713062700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-04-14 01:45:00,2024-04-14 02:00:00,1713062700,128.72,42.5,0.0,0.0,8658.78,7916,-816.14,-580.4,0.0,0.0,2.706
