key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2,GB1_kwh,GB2_kwh,GB3_kwh
TARABA_DG1_And_DG2_1710547200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-15 23:00:00,2024-03-15 23:15:00,1710547200,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710548100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-15 23:15:00,2024-03-15 23:30:00,1710548100,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710549000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-15 23:30:00,2024-03-15 23:45:00,1710549000,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710549900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-15 23:45:00,2024-03-16 00:00:00,1710549900,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710550800_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 00:00:00,2024-03-16 00:15:00,1710550800,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710551700_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 00:15:00,2024-03-16 00:30:00,1710551700,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710552600_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 00:30:00,2024-03-16 00:45:00,1710552600,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710553500_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 00:45:00,2024-03-16 01:00:00,1710553500,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710554400_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 01:00:00,2024-03-16 01:15:00,1710554400,70,89.12,0.0,0.0,8365,7751.45,-522.36,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710555300_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 01:15:00,2024-03-16 01:30:00,1710555300,70,89.12,0.0,0.0,8365.14,7751.45,-522.50,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710556200_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 01:30:00,2024-03-16 01:45:00,1710556200,70,89.12,0.0,0.0,8365.2,7751.45,-522.56,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710557100_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 01:45:00,2024-03-16 02:00:00,1710557100,70,89.12,0.0,0.0,8365.2,7751.45,-522.56,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710558000_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 02:00:00,2024-03-16 02:15:00,1710558000,70,89.12,0.0,0.0,8365.2,7751.45,-522.56,-415.85,0.0,0.0,0.0
TARABA_DG1_And_DG2_1710558900_GEN1-00980B7A_GEN2-00980B77_GRID-00980AA1,2024-03-16 02:15:00,2024-03-16 02:30:00,1710558900,70,89.12,0.0,0.0,8365.2,7751.45,-522.56,-415.85,0.0,0.0,0.0
