key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312300,2023-08-17T22:45:00,2023-08-17T22:46:00,1692312300,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312360,2023-08-17T22:46:00,2023-08-17T22:47:00,1692312360,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312420,2023-08-17T22:47:00,2023-08-17T22:48:00,1692312420,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312480,2023-08-17T22:48:00,2023-08-17T22:49:00,1692312480,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312540,2023-08-17T22:49:00,2023-08-17T22:50:00,1692312540,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312600,2023-08-17T22:50:00,2023-08-17T22:51:00,1692312600,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312660,2023-08-17T22:51:00,2023-08-17T22:52:00,1692312660,75.74,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312720,2023-08-17T22:52:00,2023-08-17T22:53:00,1692312720,75.38,194.46,0.35999999999999943,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312780,2023-08-17T22:53:00,2023-08-17T22:54:00,1692312780,75.02,194.46,0.35999999999999943,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312840,2023-08-17T22:54:00,2023-08-17T22:55:00,1692312840,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312900,2023-08-17T22:55:00,2023-08-17T22:56:00,1692312900,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692312960,2023-08-17T22:56:00,2023-08-17T22:57:00,1692312960,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313020,2023-08-17T22:57:00,2023-08-17T22:58:00,1692313020,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313080,2023-08-17T22:58:00,2023-08-17T22:59:00,1692313080,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313140,2023-08-17T22:59:00,2023-08-17T23:00:00,1692313140,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313200,2023-08-17T23:00:00,2023-08-17T23:01:00,1692313200,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313260,2023-08-17T23:01:00,2023-08-17T23:02:00,1692313260,75.02,194.46,0.0,0.0,19156.11,8454.7,0.0,0.0
UNHCR_OGOJA_OFFICE_DG1_and_DG2_1692313320,2023-08-17T23:02:00,2023-08-17T23:03:00,1692313320,74.65,194.46,0.36999999999999034,0.0,19156.11,8454.7,0.0,0.0
