key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
ADIKPO_1694472300,2023-09-11T22:45:00,2023-09-11T22:46:00,1694472300,107.45,51.55,0.0,0.0,11238.62,10101.84,0.0,0.0
ADIKPO_1694472360,2023-09-11T22:46:00,2023-09-11T22:47:00,1694472360,107.45,51.55,0.0,0.0,11238.64,10101.84,-0.019999999998617568,0.0
ADIKPO_1694472420,2023-09-11T22:47:00,2023-09-11T22:48:00,1694472420,107.45,51.55,0.0,0.0,11238.66,10101.84,-0.039999999999054126,0.0
ADIKPO_1694472480,2023-09-11T22:48:00,2023-09-11T22:49:00,1694472480,107.45,51.55,0.0,0.0,11238.67,10101.84,-0.049999999999272404,0.0
ADIKPO_1694472540,2023-09-11T22:49:00,2023-09-11T22:50:00,1694472540,107.45,51.55,0.0,0.0,11238.69,10101.84,-0.06999999999970896,0.0
ADIKPO_1694472600,2023-09-11T22:50:00,2023-09-11T22:51:00,1694472600,107.45,51.55,0.0,0.0,11238.71,10101.84,-0.08999999999832653,0.0
ADIKPO_1694472660,2023-09-11T22:51:00,2023-09-11T22:52:00,1694472660,107.45,51.55,0.0,0.0,11238.72,10101.84,-0.09999999999854481,0.0
ADIKPO_1694472720,2023-09-11T22:52:00,2023-09-11T22:53:00,1694472720,107.45,51.55,0.0,0.0,11238.74,10101.84,-0.11999999999898137,0.0
ADIKPO_1694472780,2023-09-11T22:53:00,2023-09-11T22:54:00,1694472780,107.45,51.55,0.0,0.0,11238.76,10101.84,-0.13999999999941792,0.0
ADIKPO_1694472840,2023-09-11T22:54:00,2023-09-11T22:55:00,1694472840,107.08,51.55,0.37000000000000455,0.0,11238.77,10101.84,-0.1499999999996362,0.0
ADIKPO_1694472900,2023-09-11T22:55:00,2023-09-11T22:56:00,1694472900,106.71,51.55,0.37000000000000455,0.0,11238.79,10101.84,-0.17000000000007276,0.0
ADIKPO_1694472960,2023-09-11T22:56:00,2023-09-11T22:57:00,1694472960,106.71,51.55,0.0,0.0,11238.81,10101.84,-0.18999999999869033,0.0
ADIKPO_1694473020,2023-09-11T22:57:00,2023-09-11T22:58:00,1694473020,106.71,51.55,0.0,0.0,11238.82,10101.84,-0.1999999999989086,0.0
ADIKPO_1694473080,2023-09-11T22:58:00,2023-09-11T22:59:00,1694473080,106.71,51.55,0.0,0.0,11238.84,10101.84,-0.21999999999934516,0.0
ADIKPO_1694473140,2023-09-11T22:59:00,2023-09-11T23:00:00,1694473140,106.71,51.55,0.0,0.0,11238.86,10101.84,-0.23999999999978172,0.0
ADIKPO_1694473200,2023-09-11T23:00:00,2023-09-11T23:01:00,1694473200,106.71,51.55,0.0,0.0,11238.87,10101.84,-0.25,0.0
ADIKPO_1694473260,2023-09-11T23:01:00,2023-09-11T23:02:00,1694473260,106.71,51.55,0.0,0.0,11238.89,10101.84,-0.26999999999861757,0.0
