Begin,End,wh,L1/kwh,L2/kwh
2023-08-06 05:30,2023-08-06 05:45,969,1.867905057,0
2023-08-06 05:45,2023-08-06 06:00,937,0.779082177,0
2023-08-06 06:00,2023-08-06 06:15,917,1.581243184,0
2023-08-06 06:15,2023-08-06 06:30,929,1.173304629,0
2023-08-06 06:30,2023-08-06 06:45,978,1.482617587,0
2023-08-06 06:45,2023-08-06 07:00,980,0.744897959,0
2023-08-06 07:00,2023-08-06 07:15,1254,0.869218501,0
2023-08-06 07:15,2023-08-06 07:30,1247,0.874097835,0
2023-08-06 07:30,2023-08-06 07:45,1225,1.183673469,0
2023-08-06 07:45,2023-08-06 08:00,1213,0.898598516,0
2023-08-06 08:00,2023-08-06 08:15,1203,0.897755611,0
2023-08-06 08:15,2023-08-06 08:30,1252,0,0
2023-08-06 08:30,2023-08-06 08:45,1211,1.502890173,0
2023-08-06 08:45,2023-08-06 09:00,1218,1.19047619,0
2023-08-06 09:00,2023-08-06 09:15,1183,0.304311074,0
2023-08-06 09:15,2023-08-06 09:30,1242,2.045088567,0
2023-08-06 09:30,2023-08-06 09:45,1341,0.544369873,0
2023-08-06 09:45,2023-08-06 10:00,1252,0.870607029,0
2023-08-06 10:00,2023-08-06 10:15,1377,1.053013798,0
2023-08-06 10:15,2023-08-06 10:30,1302,1.113671275,0
2023-08-06 10:30,2023-08-06 10:45,1453,0.750172058,0
2023-08-06 10:45,2023-08-06 11:00,1373,1.056081573,0
2023-08-06 11:00,2023-08-06 11:15,1326,0.550527903,0
2023-08-06 11:15,2023-08-06 11:30,1283,0.849571317,0
2023-08-06 11:30,2023-08-06 11:45,1302,1.666666667,0
2023-08-06 11:45,2023-08-06 12:00,1302,0.560675883,0
2023-08-06 12:00,2023-08-06 12:15,1289,1.404189294,0
2023-08-06 12:15,2023-08-06 12:30,1302,0.284178187,0
2023-08-06 12:30,2023-08-06 12:45,1242,1.457326892,0
2023-08-06 12:45,2023-08-06 13:00,1237,1.172190784,0
2023-08-06 13:00,2023-08-06 13:15,1267,0.292028414,0
2023-08-06 13:15,2023-08-06 13:30,1857,0.974690361,0
2023-08-06 13:30,2023-08-06 13:45,2230,0.32735426,0
2023-08-06 13:45,2023-08-06 14:00,2239,0.808396606,0
2023-08-06 14:00,2023-08-06 14:15,1882,0.770456961,0
2023-08-06 14:15,2023-08-06 14:30,1863,0.778314546,0
2023-08-06 14:30,2023-08-06 14:45,1489,0.980523842,0
2023-08-06 14:45,2023-08-06 15:00,1548,0.23255814,0
2023-08-06 15:00,2023-08-06 15:15,1861,0.972595379,0
2023-08-06 15:15,2023-08-06 15:30,1810,0.403314917,0
2023-08-06 15:30,2023-08-06 15:45,1513,1.440846001,0
2023-08-06 15:45,2023-08-06 16:00,1901,0.57338243,0
2023-08-06 16:00,2023-08-06 16:15,1651,1.09630527,0
2023-08-06 16:15,2023-08-06 16:30,1250,0.872,0
2023-08-06 16:30,2023-08-06 16:45,1163,1.556319862,0
2023-08-06 16:45,2023-08-06 17:00,1123,0.650044524,0
2023-08-06 17:00,2023-08-06 17:15,1131,0.963748895,0
2023-08-06 17:15,2023-08-06 17:30,1009,2.160555005,0
2023-08-06 17:30,2023-08-06 17:45,118,0,0
2023-08-06 20:45,2023-08-06 21:00,126,0,0
2023-08-06 21:00,2023-08-06 21:15,752,0,0
2023-08-06 21:15,2023-08-06 21:30,743,0,0
2023-08-06 21:30,2023-08-06 21:45,731,0,0
2023-08-06 21:45,2023-08-06 22:00,761,0,0
2023-08-06 22:00,2023-08-06 22:15,827,0.882708585,0
2023-08-06 22:15,2023-08-06 22:30,799,1.814768461,0
2023-08-06 22:30,2023-08-06 22:45,807,0.892193309,0
2023-08-06 22:45,2023-08-06 23:00,803,1.818181818,0
2023-08-06 23:00,2023-08-06 23:15,815,1.337423313,0
2023-08-06 23:15,2023-08-06 23:30,785,0.917197452,0
2023-08-06 23:30,2023-08-06 23:45,789,2.306717364,0
