Begin,End,wh,L1/kwh,L2/kwh
2023-08-02 02:45,2023-08-02 03:00,810,0.901234568,0
2023-08-02 03:00,2023-08-02 03:15,806,1.799007444,0
2023-08-02 03:15,2023-08-02 03:30,807,0.904584882,0
2023-08-02 03:30,2023-08-02 03:45,808,1.794554455,0
2023-08-02 03:45,2023-08-02 04:00,822,1.326034063,0
2023-08-02 04:00,2023-08-02 04:15,776,0.927835052,0
2023-08-02 04:15,2023-08-02 04:30,777,1.402831403,0
2023-08-02 04:30,2023-08-02 04:45,1322,1.096822995,0
2023-08-02 04:45,2023-08-02 05:00,1386,0.786435786,0
2023-08-02 05:00,2023-08-02 05:15,1648,1.104368932,0
2023-08-02 05:15,2023-08-02 05:30,1906,0,0
2023-08-02 05:30,2023-08-02 05:45,1701,0.852439741,0
2023-08-02 05:45,2023-08-02 06:00,1931,0.750906266,0
2023-08-02 06:00,2023-08-02 06:15,1690,0.644970414,0
2023-08-02 06:15,2023-08-02 06:30,1714,0.635939323,0
2023-08-02 06:30,2023-08-02 06:45,1709,0.637799883,0
2023-08-02 06:45,2023-08-02 07:00,1908,0,0
2023-08-02 07:00,2023-08-02 07:15,2328,0,0
2023-08-02 07:15,2023-08-02 07:30,2575,0.423300971,0
2023-08-02 07:30,2023-08-02 07:45,3330,0.435435435,0
2023-08-02 07:45,2023-08-02 08:00,3893,0.372463396,0
2023-08-02 08:00,2023-08-02 08:15,4576,0.316870629,0
2023-08-02 08:15,2023-08-02 08:30,4224,0.343276515,0
2023-08-02 08:30,2023-08-02 08:45,4249,0.171805131,0
2023-08-02 08:45,2023-08-02 09:00,4693,0.464521628,0
2023-08-02 09:00,2023-08-02 09:15,5166,0.280681378,0
2023-08-02 09:15,2023-08-02 09:30,4878,0.520705207,0
2023-08-02 09:30,2023-08-02 09:45,4802,0.603915035,0
2023-08-02 09:45,2023-08-02 10:00,4775,0.152879581,0
2023-08-02 10:00,2023-08-02 10:15,4463,0.649787139,0
2023-08-02 10:15,2023-08-02 10:30,4487,0.566079786,0
2023-08-02 10:30,2023-08-02 10:45,4732,0.230346577,0
2023-08-02 10:45,2023-08-02 11:00,4501,0.402132859,0
2023-08-02 11:00,2023-08-02 11:15,4225,0.601183432,0
2023-08-02 11:15,2023-08-02 11:30,3976,0.367203219,0
2023-08-02 11:30,2023-08-02 11:45,4011,0.27175268,0
2023-08-02 11:45,2023-08-02 12:00,3877,0.748001032,0
2023-08-02 12:00,2023-08-02 12:15,3889,0.560555413,0
2023-08-02 12:15,2023-08-02 12:30,4333,0.41772444,0
2023-08-02 12:30,2023-08-02 12:45,4339,0.502419912,0
2023-08-02 12:45,2023-08-02 13:00,4603,0.315011949,0
2023-08-02 13:00,2023-08-02 13:15,5231,0.346014146,0
2023-08-02 13:15,2023-08-02 13:30,5128,0.284711388,0
2023-08-02 13:30,2023-08-02 13:45,4702,0.616758826,0
2023-08-02 13:45,2023-08-02 14:00,3793,0.477194833,0
2023-08-02 14:00,2023-08-02 14:15,4818,0.377750104,0
2023-08-02 14:15,2023-08-02 14:30,4821,0.300767476,0
2023-08-02 14:30,2023-08-02 14:45,4655,0.622986037,0
2023-08-02 14:45,2023-08-02 15:00,4836,0.376344086,0.359801489
2023-08-02 15:00,2023-08-02 15:15,4863,0.372198232,0
2023-08-02 15:15,2023-08-02 15:30,4395,0.41410694,0
2023-08-02 15:30,2023-08-02 15:45,4456,0.570017953,0
2023-08-02 15:45,2023-08-02 16:00,4152,0.349229287,0
2023-08-02 16:00,2023-08-02 16:15,2945,0.862478778,0
2023-08-02 16:15,2023-08-02 16:30,2912,0.748626374,0.236950549
2023-08-02 16:30,2023-08-02 16:45,2405,0.602910603,0.141372141
2023-08-02 17:00,2023-08-02 17:15,662,2.749244713,0
2023-08-02 19:30,2023-08-02 19:45,20,0,0
2023-08-02 19:45,2023-08-02 20:00,973,0,0
2023-08-02 20:00,2023-08-02 20:15,940,0,0
2023-08-02 20:15,2023-08-02 20:30,973,0,0
2023-08-02 20:30,2023-08-02 20:45,1001,0,0
2023-08-02 20:45,2023-08-02 21:00,994,0,1.398390342
2023-08-02 21:00,2023-08-02 21:15,975,0,1.415384615
2023-08-02 21:15,2023-08-02 21:30,968,0,1.435950413
2023-08-02 21:30,2023-08-02 21:45,1014,0,2.041420118
2023-08-02 21:45,2023-08-02 22:00,951,0,0
2023-08-02 22:00,2023-08-02 22:15,976,0,1.06557377
2023-08-02 22:15,2023-08-02 22:30,973,0,1.778006166
2023-08-02 22:30,2023-08-02 22:45,966,0,1.438923395
2023-08-02 22:45,2023-08-02 23:00,1166,0,1.183533448
2023-08-02 23:00,2023-08-02 23:15,1135,0,0.916299559
2023-08-02 23:15,2023-08-02 23:30,987,0,1.752786221
2023-08-02 23:30,2023-08-02 23:45,953,0,0.724029381
2023-08-03 00:00,2023-08-03 00:15,944,0,1.461864407
2023-08-03 00:15,2023-08-03 00:30,922,0,1.127982646
2023-08-03 00:30,2023-08-03 00:45,966,0,1.428571429
2023-08-03 00:45,2023-08-03 01:00,903,0,0.775193798
2023-08-03 01:00,2023-08-03 01:15,1000,0,1.04
2023-08-03 01:15,2023-08-03 01:30,920,0,1.5
2023-08-03 01:30,2023-08-03 01:45,935,0,1.475935829
2023-08-03 01:45,2023-08-03 02:00,903,0,1.151716501
2023-08-03 02:00,2023-08-03 02:15,951,0,1.81913775
2023-08-03 02:15,2023-08-03 02:30,885,0,0.790960452
2023-08-03 02:30,2023-08-03 02:45,911,0,1.130625686
2023-08-03 02:45,2023-08-03 03:00,897,0,1.54960981
2023-08-03 03:00,2023-08-03 03:15,904,0,1.150442478
2023-08-03 03:15,2023-08-03 03:30,882,0,1.56462585
2023-08-03 03:30,2023-08-03 03:45,882,0,1.179138322
2023-08-03 03:45,2023-08-03 04:00,953,0,1.091290661
2023-08-03 04:00,2023-08-03 04:15,869,0,0.79401611
2023-08-03 04:15,2023-08-03 04:30,929,0,1.496232508
2023-08-03 04:30,2023-08-03 04:45,870,0,1.586206897
2023-08-03 04:45,2023-08-03 05:00,855,0,1.625730994
2023-08-03 05:00,2023-08-03 05:15,1522,0,0.906701708
2023-08-03 05:15,2023-08-03 05:30,1621,0,0.425663171
2023-08-03 05:30,2023-08-03 05:45,1209,0,0.570719603
2023-08-03 05:45,2023-08-03 06:00,1758,0,0.790671217
2023-08-03 06:00,2023-08-03 06:15,1842,0,0.749185668
2023-08-03 06:15,2023-08-03 06:30,1712,0,0.811915888
2023-08-03 06:30,2023-08-03 06:45,1869,0,0.738362761
2023-08-03 06:45,2023-08-03 07:00,2071,0,0.671173346
2023-08-03 07:00,2023-08-03 07:15,2900,0,0
2023-08-03 07:15,2023-08-03 07:30,3117,0.465190889,0
2023-08-03 07:30,2023-08-03 07:45,3289,0.553359684,0
2023-08-03 07:45,2023-08-03 08:00,3315,0.108597285,0
