key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746440,2024-02-01T00:14:00:00,2024-02-01T00:15:00:00,1706746440,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746500,2024-02-01T00:15:00:00,2024-02-01T00:16:00:00,1706746500,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746560,2024-02-01T00:16:00:00,2024-02-01T00:17:00:00,1706746560,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746620,2024-02-01T00:17:00:00,2024-02-01T00:18:00:00,1706746620,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746680,2024-02-01T00:18:00:00,2024-02-01T00:19:00:00,1706746680,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746740,2024-02-01T00:19:00:00,2024-02-01T00:20:00:00,1706746740,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746800,2024-02-01T00:20:00:00,2024-02-01T00:21:00:00,1706746800,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746860,2024-02-01T00:21:00:00,2024-02-01T00:22:00:00,1706746860,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746920,2024-02-01T00:22:00:00,2024-02-01T00:23:00:00,1706746920,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706746980,2024-02-01T00:23:00:00,2024-02-01T00:24:00:00,1706746980,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747040,2024-02-01T00:24:00:00,2024-02-01T00:25:00:00,1706747040,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747100,2024-02-01T00:25:00:00,2024-02-01T00:26:00:00,1706747100,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747160,2024-02-01T00:26:00:00,2024-02-01T00:27:00:00,1706747160,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747220,2024-02-01T00:27:00:00,2024-02-01T00:28:00:00,1706747220,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747280,2024-02-01T00:28:00:00,2024-02-01T00:29:00:00,1706747280,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747340,2024-02-01T00:29:00:00,2024-02-01T00:30:00:00,1706747340,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747400,2024-02-01T00:30:00:00,2024-02-01T00:31:00:00,1706747400,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747460,2024-02-01T00:31:00:00,2024-02-01T00:32:00:00,1706747460,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747520,2024-02-01T00:32:00:00,2024-02-01T00:33:00:00,1706747520,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747580,2024-02-01T00:33:00:00,2024-02-01T00:34:00:00,1706747580,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747640,2024-02-01T00:34:00:00,2024-02-01T00:35:00:00,1706747640,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747700,2024-02-01T00:35:00:00,2024-02-01T00:36:00:00,1706747700,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747760,2024-02-01T00:36:00:00,2024-02-01T00:37:00:00,1706747760,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747820,2024-02-01T00:37:00:00,2024-02-01T00:38:00:00,1706747820,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747880,2024-02-01T00:38:00:00,2024-02-01T00:39:00:00,1706747880,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706747940,2024-02-01T00:39:00:00,2024-02-01T00:40:00:00,1706747940,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748000,2024-02-01T00:40:00:00,2024-02-01T00:41:00:00,1706748000,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748060,2024-02-01T00:41:00:00,2024-02-01T00:42:00:00,1706748060,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748120,2024-02-01T00:42:00:00,2024-02-01T00:43:00:00,1706748120,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748180,2024-02-01T00:43:00:00,2024-02-01T00:44:00:00,1706748180,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
