original_filename,page,file_url,platform_link,starts,text,hours,asset_id,hours_num
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d9c8ff-3e64-422a-98ac-146098a3579f%2F20221108_103331-17_52_19.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/5a3cff8e-7bcc-4c5a-8b2a-9579c3799024.jpeg?expires=1711738818&or=0&s=59ee074685d1b2a15acc9e7202384cb0,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/547756d1-ed30-11ee-b012-52f8dd295e24,,"WARNING

A

Available DSE Generator

1 A 239 Y L - N 50.7 Hz 414 Y L - L 0.74 Ld 1 kW

O

AUTO

Made in U.K.

DANGER

MACHINE IS THIS CONTROLLED REMOTELY MAY START AND WARNING WITHOUT

NEKAR TA DATE 22/09 2002 AIRD Bokia - hiof - fame RELIEF DEVELOPMEN UNHCR & GENERATOR SERVICES SCOPE GENERATOR SERVICES SCHEDULE Services Services 2nd 402 9 Service Next Service Name Service hours Technician 1. Stop or warm Engine 2. Drain oll and refill 3. Replace Oil filter 4. Replace fuel filter S. Check raditor , Top up with anti - corrosion 6. Replace or blow air cleaner 7. Check and tighten any loase component 25 8. Grease battery terminals and check electrolyte 9. Start engine and analyse performance Mileage 10. Check all gauges 3047 11. Check voltage and current ABB 12. Stop and check oll and fuel leaks 13. Clean the generator UNHCR James * LAGE Changed FOREMAN & 2314l2033 DATE 30kw",,,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0117-16_10_34.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/9110b358-2266-4e27-a31a-6b0eaec2bfde.jpeg?expires=1711738818&or=0&s=eb6d0640d70ab0d51766a1d5932ec8e8,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/53a79559-ed30-11ee-b010-52f8dd295e24,,1 kPa 16 ° C 12.6 V 0 rpm 347.8 hrs STOPPED AC ENGINE MAIN MENU .1,347.8,,347.8
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0046-14_39_23.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/0e9640e3-bba6-4ae9-aeab-7cf4073820b3.jpeg?expires=1711738818&or=0&s=ddf3a89dc4240c130f3c41b22f47a0f8,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/536150ee-ed30-11ee-9777-4aca75adb6cb,,CA বন্ধ ACK RESET EVENT LOG 0 kPa 40 ° C 13.1 0 rpm 915.0 hrs STOPPED RUN AUTO STOP AC ENGINE MAIN MENU OK,915,,915
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0035-13_50_3.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/680c0107-c9f5-4636-826b-c732e6d68297.jpeg?expires=1711738818&or=0&s=e6eef4d91f14babb8916cec5a979aa44,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/51e1d565-ed30-11ee-9765-4aca75adb6cb,,410 kPa 74 ° C 14.3 V 1502 rpm 1102.3 hrs RUNNING AC ENGINE MAIN MENU,1102.3,,1102.3
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0023-13_21_3.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/552ff9ee-3a66-4ad0-877b-63e8a6af8fdc.jpeg?expires=1711738818&or=0&s=6ff0992da9242a57e9448af2685423f4,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4fbd46da-ed30-11ee-afe1-52f8dd295e24,,"CA
ACK RESET EVENT LOG
0 kPa 70 ° C 13.77
0 rpm 1300.3 hrs
STOPPED
RUN AUTO STOP
N
AC ENGINE MAIN MENU
OK

EMCP 4.1",1300.3h,,1300.3
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0022-12_42_9.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/29ae8945-0af2-4293-9554-d5d0aa6f0a6a.jpeg?expires=1711738818&or=0&s=1dbd18130ba9f7b25a4bde9331bf4bae,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4f374d2f-ed30-11ee-9140-161cfd66d21b,,"AC
600 kPa	46 ° C	13.7  V
		0 rpm	3563.6  hrs
STOPPING
RUN
as
MAIN MENU",3563.6,,3563.6
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8ec47abf-0428-42e9-882a-e3dcfcda856a%2FIMG-20240102-WA0002-12_22_2.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/90b94383-bd02-47ce-9f6d-d4339fc7446b.jpeg?expires=1711738818&or=0&s=59c548f96926248f0d5b6ad24154ca02,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4e254606-ed30-11ee-9135-161cfd66d21b,,CAT CA ACK RESET EVENT LOG 0kPa 45 ° C 13.8 N 0 rpm 2373.4 hrs STOPPED RUN AUTO STOP AC ENGINE MAIN MENU OK EMCP 4.1 A A ہے کرنا بند کو بریکر AL Δ,2373.4,,2373.4
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8cdae00b-999c-404f-a266-7dc5329a655f%2FIMG-20231220-WA0018-12_11_6.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/0b7c243c-c6a9-42ad-a5be-324957e5a116.jpeg?expires=1711738818&or=0&s=830eea465268c93669063cf6cff9bba2,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4c87c15b-ed30-11ee-969a-221e535af36b,,DEIP Gen - Set Controller GG - 1F AMF M L1 - L2 Load IIII Transfer 389V Alarm Power M L2 - L3 390V Low water level M L3 - L1 393V Low Oil Pressure MT L1 49.8Hz ESC Remote Start AUT TEST MAN,,417391,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F8bd4bbe4-006a-4ed0-a9ae-df343416b625%2FIMG20240115095526-10_10_39.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/e14a3a43-c447-4485-aa86-0dc86417aba8.jpeg?expires=1711738818&or=0&s=74debd2572e228f1db80177f6d7dd120,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4aedce3b-ed30-11ee-9677-221e535af36b,,DSE Deep Sea Electronics ALIN 232V L2N 233v A L3N 232y 士 O AUTO Made in U.K. +,,,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F7cb473bd-6311-4662-8fb7-0d8267bd9d8b%2FWhatsApp_Image_2023-12-19_at_15.47.00-15_49_37.jpeg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/ae593576-d80a-446e-a214-cf1911cb897f.jpeg?expires=1711738818&or=0&s=e9322808cf5b6b617a6bfc0029668b33,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4a101af5-ed30-11ee-9103-161cfd66d21b,,APM OB 8815 kWh CE 3780.9 h OLB 2835 ALARMI RUN Hz STOP AUTO START,3700.9,,3700.9
