index,MSRP_ASSET_ID,INTERFACE_LINE_NUMBER,ASSET_BOOK,ASSET_NUMBER,ASSET_DESCRIPTION,TAG_NUMBER,MANUFACTURER,SERIAL_NUMBER,MODEL_,ASSET_TYPE,ASSET_COST,DATE_PLACED_IN_SERVICE,PRORATE_CONVENTION,ASSET_UNITS,ASSET_CATEGORY_SEGMENT1,ASSET_CATEGORY_SEGMENT2,INV_GROUP_DESC,PROFILE_DESC,CATEGORY_DESC,VENDOR_ID,VENDOR_NAME,VENDOR_CLASS,AR_NUM,POSTING_STATUS,QUEUE_NAME,ASSET_KEY_SEGMENT1,ASSET_KEY_SEGMENT2,ASSET_KEY_SEGMENT3,IN_PHYSICAL_INVENTORY,IN_USE,ASSET_OWNERSHIP,BOUGHT,DEPRECIATE,YTD_DEPRECIATION,DEPRECIATION_RESERVE,DEPRECIATION_METHOD_,LIFE_IN_MONTHS,INVOICE_COST,COST_CLEARING_ACCOU_SEGMENT1,COST_CLEARING_ACCOU_SEGMENT2,COST_CLEARING_ACCOU_SEGMENT3,COST_CLEARING_ACCOU_SEGMENT4,COST_CLEARING_ACCOU_SEGMENT5,COST_CLEARING_ACCOU_SEGMENT6,COST_CLEARING_ACCOU_SEGMENT7,COST_CLEARING_ACCOU_SEGMENT8,ATTRIBUTE2,ATTRIBUTE_DATE1,AI_ATTRIBUTE2,GROUP_ASSET_NUMBER,MSRP_CATEGORY_ID,MSRP_PROFILE_ID,MSRP_ITEM_ID,MSRP_ASSET_BOOK,MSRP_ASSET_ID_1,INTERFACE_LINE_NUMBER_1,ASSET_DESCRIPTION_,AR_NUM_1,UNIT_ASSIGNED,EMPLOYEE_EMAIL_ADDRESS,ASSET_LOCATION_SEGMENT1,ASSET_LOCATION_SEGMENT2,DEPRECIATION_EXP_ACC_SEGMENT1,DEPRECIATION_EXP_ACC_SEGMENT2,DEPRECIATION_EXP_ACC_SEGMENT3,DEPRECIATION_EXP_ACC_SEGMENT4,DEPRECIATION_EXP_ACC_SEGMENT5,DEPRECIATION_EXP_ACC_SEGMENT6,DEPRECIATION_EXP_ACC_SEGMENT7,DEPRECIATION_EXP_ACC_SEGMENT8
500,1069810,1069810,UNHCR_ASSET_BOOK,1069810,"PORTABLE POWER BANK, GOAL ZERO",772884, ,22080-01-20D03651, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069810,1069810,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
2302,1069811,1069811,UNHCR_ASSET_BOOK,1069811,"PORTABLE POWER BANK, GOAL ZERO",772885, ,22080-01-20D03577, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069811,1069811,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
501,1069812,1069812,UNHCR_ASSET_BOOK,1069812,"PORTABLE POWER BANK, GOAL ZERO",772886, ,22080-01-20D03656, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069812,1069812,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
2303,1069813,1069813,UNHCR_ASSET_BOOK,1069813,"PORTABLE POWER BANK, GOAL ZERO",772887, ,22080-01-20A02008, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069813,1069813,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
502,1069814,1069814,UNHCR_ASSET_BOOK,1069814,"PORTABLE POWER BANK, GOAL ZERO",772888, ,22080-01-20D03535, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069814,1069814,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
3275,1069815,1069815,UNHCR_ASSET_BOOK,1069815,"PORTABLE POWER BANK, GOAL ZERO",772889, ,22080-01-20D03536, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069815,1069815,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
2304,1069816,1069816,UNHCR_ASSET_BOOK,1069816,"PORTABLE POWER BANK, GOAL ZERO",772890, ,22080-01-20D03541, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069816,1069816,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
503,1069817,1069817,UNHCR_ASSET_BOOK,1069817,"PORTABLE POWER BANK, GOAL ZERO",772891, ,22080-01-20D03589, ,CAPITALIZED,289.05,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,289.05,STL,36,289.05,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10035, ,502,STI_36,9434,STI,1069817,1069817,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
504,1069818,1069818,UNHCR_ASSET_BOOK,1069818,"PORTABLE POWER BANK, GOAL ZERO",772897, ,22051-11-19J01857, ,CAPITALIZED,269.35,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,269.35,STL,36,269.35,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10081, ,502,STI_36,9424,STI,1069818,1069818,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
2305,1069819,1069819,UNHCR_ASSET_BOOK,1069819,"PORTABLE POWER BANK, GOAL ZERO",772898, ,22051-11-19J01622, ,CAPITALIZED,269.35,2020-10-14,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 36,BATTERIES/ CHARGERS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN TRANSIT,YES,YES,OWNED,NEW,YES,0,269.35,STL,36,269.35,110,0,991010,0,0,0,0,0,,2020-10-14,EP-EE-10081, ,502,STI_36,9424,STI,1069819,1069819,"PORTABLE POWER BANK, GOAL ZERO",,1, ,ETH-ADD-ADD-BXX-002,DEFAULT,110,0,711020,0,0,0,0,0
